#Thorlabs FTS
[SpectrumHeader]
#Date;20260408
#Time;8571866
#GMTTime;13571866
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;10.000000
#TriggerMode;0
#InterferometerSerial;M00454521
#Source;
#AirMeasureOpt;0
#WnrMin;13463.064453
#WnrMax;31093.257813
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;
#Comment;""
[Data]
3.216131287e+02;5.478024250e-04
3.217207947e+02;6.079270970e-04
3.218284607e+02;9.686750709e-04
3.219361267e+02;-9.553140262e-04
3.220438232e+02;2.411666792e-03
3.221515198e+02;6.279686349e-04
3.222592163e+02;1.750295633e-03
3.223669434e+02;1.149049029e-03
3.224746399e+02;9.486334748e-04
3.225823669e+02;1.730254036e-03
3.226900940e+02;8.083426510e-04
3.227978210e+02;7.281764410e-04
3.229055786e+02;2.030877396e-03
3.230133362e+02;-8.951893542e-04
3.231210938e+02;1.189132105e-03
3.232288513e+02;1.088924357e-03
3.233366089e+02;1.249256777e-03
3.234443970e+02;6.079270970e-04
3.235521851e+02;4.676362441e-04
3.236599731e+02;9.686750709e-04
3.237677612e+02;9.887166088e-04
3.238755798e+02;5.277608871e-04
3.239833984e+02;7.682595169e-04
3.240912170e+02;-3.340258845e-04
3.241990356e+02;3.273453622e-04
3.243068542e+02;1.469713898e-04
3.244147034e+02;-5.344413803e-04
3.245225525e+02;1.129007433e-03
3.246304016e+02;5.277608871e-04
3.247382813e+02;7.281764410e-04
3.248461304e+02;1.589963213e-03
3.249540100e+02;3.073038242e-04
3.250618896e+02;4.075115721e-04
3.251697998e+02;-5.344413803e-04
3.252776794e+02;-1.536519121e-04
3.253855896e+02;-9.352724737e-05
3.254934998e+02;1.329423045e-03
3.256014099e+02;6.279686349e-04
3.257093201e+02;7.281764410e-04
3.258172607e+02;3.674284671e-04
3.259252014e+02;1.008758205e-03
3.260331421e+02;-2.338181221e-04
3.261410828e+02;6.480102311e-04
3.262490540e+02;1.429630793e-03
3.263570251e+02;8.083426510e-04
3.264649963e+02;-6.947738584e-04
3.265729675e+02;1.589963213e-03
3.266809387e+02;-4.943583044e-04
3.267889404e+02;4.676362441e-04
3.268969421e+02;3.273453622e-04
3.270049438e+02;2.271375997e-04
3.271129761e+02;2.672207120e-05
3.272209778e+02;1.409589197e-03
3.273290100e+02;1.209173701e-03
3.274370422e+02;7.081348449e-04
3.275450745e+02;6.680517254e-05
3.276531372e+02;-5.143998424e-04
3.277611694e+02;1.269298373e-03
3.278692322e+02;1.048841281e-03
3.279772949e+02;1.429630793e-03
3.280853882e+02;2.111043548e-03
3.281934509e+02;5.077193491e-04
3.283015442e+02;1.229215297e-03
3.284096375e+02;-7.949816063e-04
3.285177612e+02;9.887166088e-04
3.286258545e+02;1.108965953e-03
3.287339783e+02;2.291417448e-03
3.288421021e+02;5.478024250e-04
3.289502258e+02;-3.741089895e-04
3.290583496e+02;9.085503989e-04
3.291665039e+02;1.569921616e-03
3.292746582e+02;1.229215297e-03
3.293828125e+02;8.684673230e-05
3.294909668e+02;5.077193491e-04
3.295991516e+02;1.008758205e-03
3.297073059e+02;7.081348449e-04
3.298154907e+02;2.431708388e-03
3.299237061e+02;5.478024250e-04
3.300318909e+02;3.874700342e-04
3.301401062e+02;3.473869292e-04
3.302482910e+02;1.389547717e-03
3.303565369e+02;1.309381449e-03
3.304647522e+02;1.229215297e-03
3.305729675e+02;-3.941505274e-04
3.306812134e+02;1.048841281e-03
3.307894592e+02;-1.736934646e-04
3.308977051e+02;5.077193491e-04
3.310059814e+02;1.008758205e-03
3.311142273e+02;4.676362441e-04
3.312225037e+02;-3.139843175e-04
3.313307800e+02;7.482179790e-04
3.314390869e+02;8.684672648e-04
3.315473633e+02;8.484257269e-04
3.316556702e+02;-1.336103560e-05
3.317639771e+02;6.680517799e-06
3.318722839e+02;1.068882848e-04
3.319805908e+02;2.030877396e-03
3.320889282e+02;-6.146076485e-04
3.321972656e+02;4.075115721e-04
3.323056030e+02;5.478024250e-04
3.324139404e+02;1.710212557e-03
3.325223083e+02;7.081348449e-04
3.326306458e+02;9.285919368e-04
3.327390137e+02;4.676362369e-05
3.328474121e+02;9.887166088e-04
3.329557800e+02;-4.542751994e-04
3.330641785e+02;1.389547717e-03
3.331725464e+02;9.285919368e-04
3.332809753e+02;2.070960472e-04
3.333893738e+02;1.269298373e-03
3.334977722e+02;7.682595169e-04
3.336062012e+02;7.682595169e-04
3.337146301e+02;8.083426510e-04
3.338230591e+02;1.469713869e-03
3.339315186e+02;2.070960472e-04
3.340399475e+02;1.409589197e-03
3.341484070e+02;2.271375997e-04
3.342568665e+02;3.273453622e-04
3.343653259e+02;1.249256777e-03
3.344738159e+02;1.810420305e-03
3.345823059e+02;2.471791580e-03
3.346907654e+02;2.872622572e-04
3.347992859e+02;6.279686349e-04
3.349077759e+02;8.083426510e-04
3.350162964e+02;1.249256777e-03
3.351247864e+02;-3.540674224e-04
3.352333069e+02;4.876777821e-04
3.353418579e+02;1.169090625e-03
3.354503784e+02;1.610004692e-03
3.355589294e+02;-4.542751994e-04
3.356674805e+02;3.874700342e-04
3.357760315e+02;4.876777821e-04
3.358845825e+02;5.277608871e-04
3.359931641e+02;-5.945660523e-04
3.361017456e+02;9.486334748e-04
3.362103271e+02;-1.336103560e-05
3.363189087e+02;1.088924357e-03
3.364274902e+02;1.329423045e-03
3.365361023e+02;3.073038242e-04
3.366447144e+02;3.674284671e-04
3.367533264e+02;2.070960472e-04
